,0
GoWest,"The Go-Go's are an American new wave band formed in Los Angeles, California in 1978. Except for short periods when other musicians joined briefly, the band has had a relatively stable line-up consisting of Charlotte Caffey on lead guitar and keyboards, Belinda Carlisle on lead vocals, Gina Schock on drums, Kathy Valentine on bass guitar, and Jane Wiedlin on rhythm guitar.  The Go-Go's rose to fame"
GQ,"GQ (formerly Gentlemen's Quarterly) is an international monthly men's magazine based in New York City and founded in 1931. The publication focuses on fashion, style, and culture for men, though articles on food, movies, fitness, sex, music, travel, sports, technology, and books are also featured.


== History ==
Gentlemen's Quarterly was launched in 1931 in the United States as Apparel Arts. It wa"
GrandFunkRailroad,"Grand Funk Railroad, sometimes shortened as Grand Funk, is an American hard rock band popular during the 1970s, who toured extensively and played to packed arenas worldwide. Known for their crowd-pleasing arena rock style, the band was well-regarded by audiences despite a relative lack of critical acclaim. The band's name is a play on words of the Grand Trunk Western Railroad, a line that runs thr"
GrassRoots,"The Grass Roots are an American rock band that charted frequently between 1966 and 1975. The band was originally the creation of Lou Adler and songwriting duo P. F. Sloan and Steve Barri. In their career, they achieved two gold albums, one gold single and charted singles on the Billboard Hot 100 a total of 21 times. Among their charting singles, they achieved Top 10 three times, Top 20 three times"
GreatWhite,"Great White is an American hard rock band, formed in   Los Angeles in 1977. They gained their name from the       Great White Shark. They got their popularity during the 1980s and early 1990s. The band released several albums in the late 1980s and gained airplay on MTV with music videos for songs like ""Once Bitten, Twice Shy"". The band reached their peak popularity with the album ...Twice Shy in 1"
GregKihn,"Gregory Stanley Kihn (born July 10, 1949) is an American rock musician, radio personality, and novelist.


== History ==
Kihn was born in Baltimore, Maryland, United States.His early influence was The Beatles and their appearance on The Ed Sullivan Show. ""Just about every rock and roll musician my age can point to one cultural event that inspired him to take up music in the first place: The Beatle"
GuessWho,"The Guess Who are a Canadian rock band, formed in Winnipeg in 1965. Initially gaining recognition in Canada, the group found international success from the late 1960s through the mid-1970s with many hit singles, including ""No Time"", ""American Woman"", ""Laughing"", ""These Eyes"", ""Undun"" and ""Share the Land"", most of these coming under the songwriting leadership of Burton Cummings, Randy Bachman (late"
GunsNRoses,"Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985. When they signed to Geffen Records in 1986, the band comprised vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler. The current lineup consists of Rose, Slash, McKagan, keyboardist Dizzy Reed, guitarist Richard Fort"
GwenMcCrae,"Gwen McCrae (née Mosley, December 21, 1943, Pensacola, Florida, United States) is an American singer, best known for her 1975 hit ""Rockin' Chair"".


== Life and career ==


=== 1960s–1970s ===
Gwen was the youngest of five children, She began performing in local clubs as a teenager, and singing with local groups like the Lafayettes and the Independents. In 1963, she met a young sailor named George"
Haddaway,"Nestor Alexander Haddaway (born 9 January 1965) is a Trinidadian-born German vocalist and musician best known for his 1993 hit single ""What Is Love"", which reached number 1 in 13 countries.


== Early life ==
Haddaway was born in Trinidad and Tobago in 1965. His mother was a nurse and his father was a marine biologist. His parents separated in the early 1970s and Haddaway first lived with his fath"
HallAndOates,"Hall & Oates are an American pop rock duo formed in 1970 in Philadelphia. Daryl Hall is generally the lead vocalist; John Oates primarily plays electric guitar and provides backing vocals. The two write most of the songs they perform, separately or in collaboration. They achieved their greatest fame from the mid-1970s to the mid-1980s with a fusion of rock and roll and rhythm and blues.Hall and Oa"
HamiltonJoeFrankAndReynolds,"Hamilton, Joe Frank & Reynolds were a 1970s soft rock trio from Los Angeles. The original members were Dan Hamilton (guitar/lead vocal), Joe Frank Carollo (bass/vocal), and Tommy Reynolds (multi-instrumentalist/vocal), all of whom had previously played in The T-Bones, a 1960s band noted for the instrumental hit ""No Matter What Shape (Your Stomach's In).""
The group first hit the charts in 1971 with"
Happenings,"A happening is a performance, event, or situation art, usually as performance art. The term was first used by Allan Kaprow during the 1950s to describe a range of art-related events.


== History ==


=== Origins ===

Allan Kaprow first coined the term ""happening"" in the spring of 1959 at an art picnic at George Segal's farm to describe the art pieces that were going on. The first appearance in pr"
HaroldMelvin,"Harold Melvin & the Blue Notes were an American soul and R&B vocal group. One of the most popular Philadelphia soul groups of the 1970s, the group's repertoire included soul, R&B, doo-wop, and disco. Founded in Philadelphia, Pennsylvania in the middle of the 1950s as The Charlemagnes, the group is most noted for several hits on Gamble and Huff's Philadelphia International label between 1972 and 19"
HarryBelafonte,"Harry Belafonte (born Harold George Bellanfanti Jr.; March 1, 1927) is a Jamaican-American singer, songwriter, activist, and actor. One of the most successful Jamaican-American pop stars in history, he was dubbed the ""King of Calypso"" for popularizing the Trinidadian  Caribbean musical style with an international audience in the 1950s. His breakthrough album Calypso (1956) was the first million-se"
HarryChapin,"Harry Forster Chapin (December 7, 1942 – July 16, 1981) was an American singer-songwriter and philanthropist best known for his folk rock and pop rock songs. He achieved worldwide success in the 1970s and became one of the most popular artists and highest-paid performers. Chapin is also one of the best charting musical artists in the United States. Chapin, a Grammy Award-winning artist and Grammy "
HarryNilsson,"Harry Edward Nilsson III (June 15, 1941 – January 15, 1994), known professionally as Nilsson, was an American singer-songwriter who achieved the peak of his commercial success in the early 1970s. His work is characterized by pioneering vocal overdub experiments, returns to the Great American Songbook, and fusions of Caribbean sounds. A tenor with a 3½ octave range, Nilsson was one of the few major"
Heart,"The Head and the Heart is an American indie folk band. They were formed in the summer of 2009 by Josiah Johnson (vocals, guitar, percussion) and Jonathan Russell (vocals, guitar, percussion). The band also includes Charity Rose Thielen (violin, guitar, vocals), Chris Zasche (bass), Kenny Hensley (piano), and Tyler Williams (drums). The band is signed to Warner Bros. Records and have released four "
Heatwave,"Heatwave are a UK based funk/disco band formed in 1975. Its most popular line-up featured Americans Johnnie Wilder Jr. and Keith Wilder (vocals) of Dayton, Ohio; Englishman Rod Temperton (keyboards); Swiss Mario Mantese (bass); Czechoslovak Ernest ""Bilbo"" Berger (drums); Jamaican Eric Johns (guitar); and Briton Roy Carter (guitar).They are known for their singles ""Boogie Nights"", ""The Groove Line"""
HelenReddy,"Helen Maxine Reddy (born 25 October 1941) is an Australian-American singer, actress, and activist. Born in Melbourne, Victoria to a show-business family, Reddy started her career as an entertainer at age four. She sang on radio and television, and won a talent contest on a television program, Bandstand, in 1966; her prize was a ticket to New York City and a record audition, which turned out to be "
HerbAlpert,"Herb Alpert (born March 31, 1935) is an American trumpeter who led Herb Alpert & the Tijuana Brass in the 1960s. During the same decade, he co-founded A&M Records with Jerry Moss. He is an artist who paints and sculpts abstract expressionist works and is a philanthropist with his wife, Lani Hall, through the Herb Alpert Foundation. His career as a musician includes recording five No. 1 albums and "
HerbieMann,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known professionally by his stage name Herbie Mann, was an American jazz flautist and important early practitioner of world music. Early in his career, he also played tenor saxophone and clarinet (including bass clarinet), but Mann was among the first jazz musicians to specialize on the flute. His most popular single was ""Hijack"", which was a Bi"
HermansHermits,"Herman's Hermits are an English beat rock and pop group formed in 1964 in Manchester, originally called Herman and His Hermits and featuring lead singer Peter Noone. Produced by Mickie Most, they charted with number ones in the UK and in America, where they ranked as one of the most successful acts in the Beatles-led British Invasion. They also appeared in four films, two of them vehicles for the "
